TITLE,PREDICTED_GENRE,ACTUAL_GENRE
Edgar's Lunch (1998),drama,thriller
La guerra de papá (1977),drama,comedy
Off the Beaten Track (2010),documentary,documentary
Meu Amigo Hindu (2015),drama,drama
Er nu zhai (1955),drama,drama
Riddle Room (2016),drama,horror
L'amica (1969),drama,drama
Ina Mina Dika (1989),drama,comedy
Equinox Special: Britain's Tornados (2005),documentary,documentary
Press (2011),drama,drama
The Firm Man (1975),drama,drama
Out of Here (2013/I),drama,drama
Tip 2 (1990),drama,drama
Hero of the Day (2012),documentary,drama
Das letzte Mal (2000),drama,short
The Man in Every Shot (2010),documentary,documentary
The Kettles on Old MacDonald's Farm (1957),comedy,comedy
The Patriot (1916),drama,western
"""The Rogue Legends Series"" (2017)",documentary,documentary
A Case of Mistaken Identity? (2008),drama,documentary
